from,to,from_station,to_station,total_trips,distance,orig_pop,dest_jobs
77,180,Barbican,Eastcote,33,23808.68877,10822,2888
77,98,Barbican,East Ham,99,11050.43873,10822,12514
77,75,Barbican,Edgware Road (C),130,5708.568939,10822,6710
77,114,Barbican,Elm Park,52,21306.52471,10822,3226
77,87,Barbican,Euston Square,461,3244.750704,10822,15583
77,29,Barbican,Fairlop,9,19092.75069,10822,1124
77,226,Barbican,Finchley Central,77,13077.74783,10822,6502
77,165,Barbican,Finchley Road,125,7952.631545,10822,8755
77,209,Barbican,Golders Green,17,9577.596583,10822,6945
77,126,Barbican,Gunnersbury,0,15002.54627,10822,1901
77,51,Barbican,Hainault,0,19885.04485,10822,3513
77,206,Barbican,Hampstead,30,7513.90457,10822,3902
77,199,Barbican,Highgate,12,8879.112425,10822,4931
77,188,Barbican,Hillingdon,21,28428.77531,10822,1672
77,245,Barbican,Holloway Road,49,4839.072435,10822,5186
77,123,Barbican,Hornchurch,4,22819.92233,10822,2514
77,16,Barbican,Kensal Green,0,11199.71161,10822,1412
77,216,Barbican,Kentish Town,26,5656.13498,10822,8068
77,168,Barbican,Kilburn,43,9646.268287,10822,6737
77,19,Barbican,Kilburn Park,26,8974.542618,10822,2584
77,169,Barbican,Kingsbury,36,17416.17895,10822,4853
77,148,Barbican,Ladbroke Grove,80,9043.383615,10822,5084
77,65,Barbican,Leytonstone,26,10808.89871,10822,8584
77,36,Barbican,Loughton,9,19611.7469,10822,3474
77,20,Barbican,Maida Vale,0,8156.095627,10822,2630
77,265,Barbican,Manor House,0,7376.976931,10822,5729
77,1,Barbican,Marylebone,176,5193.943412,10822,12652
77,32,Barbican,Mile End,82,4791.902679,10822,11650
77,178,Barbican,Moor Park,19,28806.34065,10822,1022
77,235,Barbican,Morden,29,16441.38586,10822,8498
77,30,Barbican,Newbury Park,0,16807.05317,10822,4723
77,186,Barbican,North Harrow,42,21428.395,10822,1833
77,185,Barbican,Northwick Park,25,18266.5617,10822,4185
77,194,Barbican,Northwood Hills,2,25125.0733,10822,1872
77,197,Barbican,Old Street,6,1537.299479,10822,25770
77,234,Barbican,Oval,11,5398.791535,10822,6055
77,195,Barbican,Pinner,83,22955.24094,10822,3415
77,132,Barbican,Plaistow,0,8485.992458,10822,4858
77,193,Barbican,Preston Road,86,16520.28989,10822,3074
77,121,Barbican,Putney Bridge,18,12406.68545,10822,5113
77,160,Barbican,Queensbury,10,18604.03219,10822,4909
77,17,Barbican,Queen's Park,0,9732.146192,10822,3837
77,182,Barbican,Ruislip Manor,9,24944.24632,10822,1987
77,274,Barbican,Seven Sisters,162,9269.55805,10822,28290
77,243,Barbican,Southgate,86,14956.00652,10822,4660
77,223,Barbican,South Wimbledon,0,14959.00828,10822,4109
77,72,Barbican,South Woodford,53,13757.34868,10822,5156
77,161,Barbican,Stanmore,42,21637.56168,10822,3585
77,66,Barbican,Stratford,430,7530.810025,10822,67796
77,203,Barbican,Tooting Bec,78,11564.80404,10822,6375
77,200,Barbican,Tufnell Park,0,6351.363527,10822,2999
77,266,Barbican,Turnpike Lane,24,9567.57203,10822,8050
77,135,Barbican,Upminster,0,25183.56094,10822,2695
77,119,Barbican,Upton Park,46,9749.408921,10822,6947
77,68,Barbican,Wanstead,0,12560.38413,10822,2653
77,179,Barbican,Watford,99,32855.10155,10822,1958
77,170,Barbican,Wembley Park,84,15067.77982,10822,15098
77,109,Barbican,West Ham,29,7630.613789,10822,13975
77,167,Barbican,West Hampstead,89,8667.911349,10822,9441
77,187,Barbican,West Harrow,21,20690.01877,10822,1515
